epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.6,0.87922,0.52627,0.84109,0.95464,0.95859,0.97171,0.74909,0.75295,0.44897,0.82208,0.0001,0.0001,0.0001
2,1312.91,0.862,0.5091,0.83786,0.9538,0.96202,0.97146,0.75089,0.74284,0.4426,0.81982,9.67e-05,9.67e-05,9.67e-05
3,1970.73,0.85497,0.5027,0.83596,0.95127,0.96292,0.97151,0.753,0.7368,0.44029,0.81914,9.34e-05,9.34e-05,9.34e-05
4,2623.64,0.85098,0.498,0.83422,0.95466,0.96098,0.97249,0.75768,0.73311,0.43485,0.81738,9.01e-05,9.01e-05,9.01e-05
5,3225.09,0.84401,0.49168,0.83346,0.95524,0.96289,0.97174,0.75574,0.7331,0.43102,0.81722,8.68e-05,8.68e-05,8.68e-05
6,3804.57,0.83654,0.48779,0.83281,0.95631,0.96015,0.97246,0.75825,0.72793,0.42773,0.8175,8.35e-05,8.35e-05,8.35e-05
7,4405.05,0.83184,0.48223,0.83125,0.95919,0.96406,0.97371,0.76117,0.72089,0.42227,0.81579,8.02e-05,8.02e-05,8.02e-05
8,5008.31,0.83026,0.47815,0.83056,0.95774,0.96405,0.97349,0.76213,0.7186,0.42256,0.81524,7.69e-05,7.69e-05,7.69e-05
9,5601.9,0.81515,0.47012,0.82836,0.95873,0.96306,0.97221,0.76346,0.71526,0.42052,0.81455,7.36e-05,7.36e-05,7.36e-05
10,6196.29,0.83469,0.48406,0.83189,0.95489,0.96113,0.97299,0.76155,0.71566,0.42004,0.81448,7.03e-05,7.03e-05,7.03e-05
11,6790.87,0.83025,0.48189,0.83134,0.96048,0.9612,0.97366,0.76481,0.7146,0.41844,0.81482,6.7e-05,6.7e-05,6.7e-05
12,7386.63,0.82897,0.47798,0.83091,0.95969,0.96217,0.97438,0.76553,0.7108,0.41628,0.81394,6.37e-05,6.37e-05,6.37e-05
13,7989.51,0.82483,0.47606,0.83055,0.96038,0.96477,0.97389,0.76675,0.70827,0.41395,0.81376,6.04e-05,6.04e-05,6.04e-05
14,8594.6,0.82336,0.4747,0.82978,0.95641,0.96539,0.97467,0.76748,0.70903,0.41328,0.81401,5.71e-05,5.71e-05,5.71e-05
15,9198.49,0.82298,0.47392,0.83002,0.95511,0.96246,0.9737,0.76747,0.70386,0.41338,0.81305,5.38e-05,5.38e-05,5.38e-05
16,9792.02,0.82304,0.47417,0.82976,0.96101,0.96445,0.9734,0.76802,0.70229,0.41074,0.81264,5.05e-05,5.05e-05,5.05e-05
17,10386.4,0.82012,0.47114,0.82831,0.95959,0.96424,0.97421,0.77043,0.69815,0.41082,0.81201,4.72e-05,4.72e-05,4.72e-05
18,10981.1,0.81958,0.47019,0.82888,0.96126,0.96289,0.97468,0.77057,0.69965,0.40865,0.81228,4.39e-05,4.39e-05,4.39e-05
19,11576,0.81437,0.46759,0.82833,0.96067,0.96587,0.97561,0.77129,0.69707,0.40689,0.81168,4.06e-05,4.06e-05,4.06e-05
